state,created_date_ym,count
CA,2015-04,133245
FL,2014-10,146409
IL,2015-03,146740
CA,2015-07,148756
PA,2014-10,151504
NY,2014-10,154943
GA,2015-09,155519
CA,2015-08,158949
CA,2015-06,159871
CA,2015-05,162362
IN,2014-10,162382
IL,2015-09,164248
IL,2014-10,168577
OH,2015-09,169189
NC,2014-10,172807
IN,2015-09,180351
FL,2015-03,189724
MI,2015-09,191601
OH,2014-10,203028
FL,2015-09,214135
MI,2014-10,220891
TX,2015-03,281772
CA,2015-03,299135
CA,2014-10,310542
TX,2015-09,385448
CA,2015-09,391213
TX,2014-10,446525
